year,state,state_po,state_fips,state_cen,state_ic,candidate,party_detailed,writein,candidatevotes,totalvotes,version,party_simplified,flag_zero_votes
1976,ALABAMA,AL,1,63,41,"BUBAR, BENJAMIN ""BEN""",PROHIBITION,FALSE,6669,1182850,20210113,OTHER,FALSE
1976,ALABAMA,AL,1,63,41,"CARTER, JIMMY",DEMOCRAT,FALSE,659170,1182850,20210113,DEMOCRAT,FALSE
1976,ALABAMA,AL,1,63,41,"FORD, GERALD",REPUBLICAN,FALSE,504070,1182850,20210113,REPUBLICAN,FALSE
1976,ALABAMA,AL,1,63,41,"HALL, GUS",COMMUNIST PARTY USE,FALSE,1954,1182850,20210113,OTHER,FALSE
1976,ALABAMA,AL,1,63,41,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,1481,1182850,20210113,LIBERTARIAN,FALSE
1976,ALABAMA,AL,1,63,41,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,FALSE,9198,1182850,20210113,OTHER,FALSE
1976,ALABAMA,AL,1,63,41,UNKNOWN/SCATTERING,UNKNOWN,TRUE,308,1182850,20210113,OTHER,FALSE
1976,ALASKA,AK,2,94,81,"CARTER, JIMMY",DEMOCRAT,FALSE,44058,123574,20210113,DEMOCRAT,FALSE
1976,ALASKA,AK,2,94,81,"FORD, GERALD",REPUBLICAN,FALSE,71555,123574,20210113,REPUBLICAN,FALSE
1976,ALASKA,AK,2,94,81,"MACBRIDE, ROGER",LIBERTARIAN,FALSE,6785,123574,20210113,LIBERTARIAN,FALSE
1976,ALASKA,AK,2,94,81,UNKNOWN/SCATTERING,UNKNOWN,TRUE,1176,123574,20210113,OTHER,FALSE
1976,ARIZONA,AZ,4,86,61,"ANDERSON, THOMAS J.",AMERICAN,FALSE,564,742719,20210113,OTHER,FALSE
1976,ARIZONA,AZ,4,86,61,"CAMEJO, PETER",SOCIALIST WORKERS,FALSE,928,742719,20210113,OTHER,FALSE
